username,full_text,created_at
kencwur,━─── Sangnew AU. Sebuah keluh kesah mahasiswa semester sinting yang dipaksa waras secepat pijar lentera. Dalam semesta 𝙈𝙖𝙨 𝙎𝙖𝙣𝙜𝙮𝙚𝙤𝙣 dan 𝘼𝙙𝙚𝙠 𝘾𝙝𝙖𝙣𝙝𝙚𝙚. https://t.co/S3EOWk7e7e,Mon Aug 14 20:12:33 +0000 2023
wulan_prmataa,Jadi mahasiswa akhir itu tidak mudah. Maka dari itu butuh telinga yg rela mendengarkan keluh kesah. Krna banyak yg menyerah ketika sedang menjalaninya. https://t.co/MOYDxGkgZ5,Sat Oct 14 09:27:33 +0000 2023
EinsMich,#bluelock Michael Kaiser x fem!reader local collage AU Keluh kesah mahasiswa semester 5 gimana sih?! https://t.co/64gB8dX149,Thu Jan 18 14:53:10 +0000 2024
mirlamiyan, #argenti #velite #argelite 「 bxb probably hsr modern au few tweet? 」 Pacar pembalap profesional yang mendengar keluh kesah pacarnya yang seorang mahasiswa penerbangan. bf act of service x bf tsundere ﹂ https://t.co/qzmIP8WzCt,Mon Dec 18 03:40:27 +0000 2023
ikhwanuddin,Tahun 1: mahasiswa baru masih cupu (santai) Tahun 2: bimbang pilih organisasi atau persiapan IISMA Tahun 3: magang IISMA organisasi ditinggalin kuliah padet Tahun 4: bimbingan Tugas Akhir (stress) kapan demo dan mikir kritisnya? yaa emang dibikin gak bisa! ,Wed May 22 02:09:17 +0000 2024
syahidmuafa,keluh kesah mahasiswa fotografi dengan cuaca https://t.co/Xvt933jDsv,Mon Mar 06 06:36:05 +0000 2023
jellykammy,apakah lagunya tentang keluh kesah mahasiswa ??? https://t.co/bGBHO6Y162,Mon Nov 13 09:09:59 +0000 2023
minbinbase,minbin! college au! dalam episode: keluh kesah mahasiswa semester nanggung https://t.co/Wfz7Z5z7xW,Thu May 11 17:55:21 +0000 2023
bikocuties,keluh kesah mahasiswa pagi ini https://t.co/rwL7CfG2sy,Sat Sep 23 03:02:48 +0000 2023
sutrisna_wibawa,Keluh kesah salah satu mahasiswa yang terdampak corona. Semoga diberikan kesabaran dan ketabahan yang berlimpah. Aamiin *Turut prihatin Ternyata yang berkeluh kesah isinya tidak hanya prihal uang jajan yang distop orang tua UKT kos-kosan tapi juga prihal hubungan. https://t.co/BB3xmh6WIH,Fri Jun 19 14:29:29 +0000 2020
engkeiii,keluh kesah mahasiswa punya dosen slow resp ngeri meninggal https://t.co/PF9s5wfQOg,Thu Nov 09 09:50:23 +0000 2023
tanyarlfes, keluh kesah mahasiswa pasrah https://t.co/Mr7ZZGc7n2,Sun Apr 21 06:59:45 +0000 2024
elisabethdebyy,keluh kesah mahasiswa smester 2 https://t.co/MWU36aD6tz,Sun Jun 11 11:52:08 +0000 2023
dodolanmentai,tadi abis bahas keluh kesah mahasiswa psikologi sama bapak ketua depertemen yang akhirnya ak temui jg bkn cuma di chant psychopath https://t.co/KsEaDyJ0X9,Wed Oct 25 12:52:23 +0000 2023
biyubibielies,Tiga org ini berderet swnya berisi keluh kesah mahasiswa. Sabar ya klen https://t.co/boq7iMAzBE,Mon Feb 26 21:15:11 +0000 2024
sukauli,keluh kesah mahasiswa https://t.co/HASfzZQxiD,Wed Apr 17 05:59:24 +0000 2024
GamisMalaysia,KUNJUNGAN KE KEMENTERIAN PENDIDIKAN TINGGI (KPT) Tujuan utama kunjungan ini adalah bagi menyampaikan hasil tinjauan suara keluh kesah mahasiswa yang tidak dapat turun mengundi kerana terdapat tarikh-tarikh peperiksaan akhir yang bertembung. #GAMISMALAYSIA #GAMIS2023 https://t.co/8buPqqZLK6,Fri Jul 28 04:02:44 +0000 2023
kelwuar,mendengarkan keluh kesah mahasiswa semester akhir semoga gk pasrahan https://t.co/yNGTGdXYVP,Thu Dec 07 17:46:53 +0000 2023
panggilsajaicel,Keluh kesah mahasiswa akhir mengejar deadline sidang skripsi https://t.co/bZep5UIber,Tue Jan 16 10:19:09 +0000 2024
GamisMalaysia,KUNJUNGAN KE KEMENTERIAN PENDIDIKAN TINGGI (KPT) Tujuan utama kunjungan ini adalah bagi menyampaikan hasil tinjauan suara keluh kesah mahasiswa yang tidak dapat turun mengundi kerana terdapat tarikh-tarikh peperiksaan akhir yang bertembung. #GAMIS2023 https://t.co/JsGz27JjbA,Fri Jul 28 04:01:41 +0000 2023
jji_chuu,mendengarkan keluh kesah mahasiswa sem akhir + anak rantau gpp sambil foya² dikit https://t.co/9p70F0J71T,Sun Sep 24 12:38:27 +0000 2023
GamisMalaysia,PETISYEN KOS SARA HIDUP Kami daripada Gabungan Mahasiswa Islam Se-Malaysia sedang melancarkan satu petisyen bagi menggesa pihak kerajaan untuk menangani isu kos sara hidup. Tujuan utama petisyen ini diadakan adalah untuk mengumpul suara keluh kesah rakyat serta mahasiswa. https://t.co/AlIDCc9FfQ,Thu Jul 20 07:06:16 +0000 2023
suguruwu__,Sedang mendengarkan keluh kesah mahasiswa teknik. https://t.co/wEUwcT8k5l,Sat Apr 01 08:28:08 +0000 2023
akumagrrr,Keluh kesah mahasiswa PP dg 1 matkul:D kelas jam 8 dateng jam 7:45 kelas dibuka jam 8:15 Jam 8:20 baru ada gw Jam 9 dosen baru dateng dg 7 murid dikelas dosen duduk bentar trus bilang kelas diganti ajh ya ibu ada kerjaan https://t.co/lmmX2tmk4v,Thu Dec 28 10:47:54 +0000 2023
utfess,Halo temen-temen bantu isi kuisioner tentang tuton ini yuk (kriterianya mahasiswa UT! semester 2 keatas) aspirasi dan keluh kesah kalian bisa dituangkan lewat kuisioner inii. Link aku taro di Rep ya! Thank you https://t.co/RZ9b20wMXV,Mon Sep 25 13:31:26 +0000 2023
permahasiswaan,@collegemenfess loh aneh kontennya justru semester satu itu adalah masa yg berat bagi sebagian mahasiswa karena masih baru nyemplung dan rentang cemas. ini ada penelitiannya https://t.co/NWwgHpaCUX,Sat Oct 21 12:47:39 +0000 2023
deviqianara,Ganz sosok yg tulus dengerin keluh kesah mahasiswa. Ganjar Presiden https://t.co/ScT1xWmy1B,Thu Oct 05 09:26:12 +0000 2023
alstroemeriax_,Sebuah keluh kesah mahasiswa karyawan https://t.co/TpPpYgBInN,Wed Dec 20 16:35:33 +0000 2023
flnhptriii,Hebat Ganjar gak cuma datang buat kuliah umum tp juga dengerin keluh kesah mahasiswa. Ganjar Presiden https://t.co/nTvqTpTW5m,Thu Oct 05 09:45:11 +0000 2023
Aqua_menn,Tengah malam masuk IGD. Yapp sebuah keluh kesah mahasiswa tingkat akhir #gws https://t.co/s6YwuXD7QN,Sun Mar 10 17:48:30 +0000 2024
xserunai,isinya keluh kesah mahasiswa semester akhir makasih lho saran yang tidak membantu itu @dwudung https://t.co/QF54qtVn0c,Fri Mar 10 13:34:55 +0000 2023
wufyujake,Keluh kesah mahasiswa pertengahan yg gk nyesel si tapi nyesel wkwkwk Makkk maw pulang makkk butuh tikett pp seminggu aja gk ngapa dah butuh hirup udara indo banget utk menghilangkan stress (Maap aku sambat) https://t.co/GpUqrVrg1H,Sun Apr 21 20:39:56 +0000 2024
filsafatmu,Dari ketidakakraban mahasiswa dengan tradisi membaca kemudian muncul sebuah asumsi imajinatif dalam kepala saya bahwa dewasa ini mahasiswa dan masyarakat umum tidak berbeda sama sekali kecuali bahwa mahasiswa itu punya jas almamater dan ka-te-em. Candrika Adhiyasa,Sat Oct 29 14:29:12 +0000 2022
sound_of_syilla,Keluh kesah mahasiswa semester akhir dgn kendala repository error berjamaah https://t.co/nKodTqkw1W,Mon Apr 15 16:03:15 +0000 2024
arkaaikum,keluh kesah mahasiswa yg punya warung https://t.co/RWRgXxnrxF,Fri Dec 15 02:06:57 +0000 2023
UPIfess,Selamat ulang tahun ya !upi fess terimakasih telah menjadi base kesayangan mahasiswa upi buat berbagi info n keluh kesah sukses selalu lopp️️ https://t.co/7VMK4Dy2xM,Fri Jan 12 06:27:10 +0000 2024
Nikholssss,Keluh kesah mahasiswa Ekstensi :') https://t.co/KorbrtzpnW,Thu Feb 23 15:04:25 +0000 2023
listifebrii,Keluh kesah mahasiswa semester 4,Thu Apr 06 00:58:21 +0000 2023
PolsekReteh,Kegiatan Jum'at Curhat Polsek Reteh. Kapolsek bersama anggota melaksanakan komunikasi tatap muka menampung aspirasi dan keluh kesah mahasiswa KKN Unisi di Pulau Kijang Kec. Reteh. #poldariau #polresinhil https://t.co/J7Cpx0d85m,Fri Sep 15 05:14:42 +0000 2023
reevnnn,keluh kesah mahasiswa undip cabang arteri https://t.co/ghQUmVxW9Z,Wed Oct 11 16:51:50 +0000 2023
areumichy,lucu bgt keluh kesah mahasiswa isinya meme smua wkwkwk https://t.co/apuJvj67KM,Mon Dec 11 12:54:19 +0000 2023
WirantoHar4,Ganjar sosok yg tulus dengerin keluh kesah mahasiswa. Ganjar Presiden https://t.co/upwjkQB6Dl,Thu Oct 05 09:25:34 +0000 2023
rayjourneyy,nugas ft denger keluh kesah mahasiswa ub https://t.co/h6NR46nnKh,Thu Dec 14 05:49:30 +0000 2023
dahliamirnahhh_,Keren Ganjar dengerin keluh kesah mahasiswa. Keep it up! Ganjar Presiden https://t.co/j3pvhwRBQj,Thu Oct 05 09:20:02 +0000 2023
dianrusdianaa,Bukan cmn kuliah umum tp jg dengerin keluh kesah mahasiswa. Ganjar Presiden https://t.co/adqhFsPlko,Thu Oct 05 09:36:19 +0000 2023
flwrpuff,keluh kesah mahasiswa di semester 6,Fri May 26 15:50:01 +0000 2023
MuhamadCahyaA2,Keluh kesah mahasiswa abadi,Fri Aug 25 13:19:35 +0000 2023
UGM_FESS,keluh kesah mahasiswa yujiem kelas dari jam 7 selesai jam 6 https://t.co/q0ppsl8LOT,Mon Mar 18 10:10:59 +0000 2024
Sam_Ardi,Makan pagi kesiangan makan siang kepagian. Ngeloyor ke warteg dekat kos. Ngobrol sambil dengerin keluh kesah sesama mahasiswa di tanggal tua begini https://t.co/x7iFePkoT2,Sun Aug 27 04:33:55 +0000 2023
ardisatriawan,Hal yang tidak boleh dilakukan selama kuliah S1: 1) Sakit parah sampai dirawat untuk memulihkan diri sampai beberapa bulan 2) Kehilangan orang yang dicintai sampai berduka tak kunjung pulih 3) Cuti kuliah untuk bekerja karena kehabisan uang perlu bayar UKT dan ongkos kuliah ,Fri Feb 23 15:58:35 +0000 2024
xxidkwhoiam,keluh kesah mahasiswa https://t.co/O9UPXFRGrd,Mon Jun 05 17:19:05 +0000 2023
BEM_FHUI,[KELUH KESAH MAHASISWA DIDENGAR OLEH CALON DEKAN FH UI MEMANG BISA?] https://t.co/mwmdTjwjfX,Sun May 07 12:31:47 +0000 2023
gerythecats66,Keluh kesah mahasiswa kampus Masih kebaca gak tulisannya? https://t.co/jc3qs0YU2Q,Sun Jul 14 05:29:27 +0000 2024
hmpskpi_uinrms,[Teaser Company Profile HMPS KPI 2024 Periode Gana Gautama!!] Hai Friendscom HMPS KPI hadir untuk menjadi wadah aspirasi maupun keluh kesah Mahasiswa KPI. Libatkan HMPS KPI dalam menghadapi segala problematika yang ada dalam Prodi KPI. Durasi penuh ada di channel YouTube!! https://t.co/rwFIYD8Oyr,Tue Jun 25 15:05:46 +0000 2024
ahnafau,Struggle mahasiswa: Ditolak organisasi beasiswa dan magang. Setelah beberapa tahun &amp; tanya mahasiswa2 yang lebih sukses ternyata kuncinya 1: Kita harus bisa ngasih apa yang penyelenggara mau. Gimana caranya? A thread.,Sun Jul 31 13:12:47 +0000 2022
lpm_balans,FEB Balans - HEMa Manajemen gelar pertemuan FKA Forum Komunikasi Angkatan pada Senin 26 Juni 2023. FKA merupakan forum untuk menyerap aspirasi atau keluh kesah mahasiswa manajemen selama perkuliahan. https://t.co/pGnlo4P0kH,Fri Nov 17 16:20:23 +0000 2023
aminianisa3,Keluh kesah mahasiswa curhat mencari tempat magang WKWK (konsultasi part 1) https://t.co/UrMLF4oRxx,Thu Feb 01 15:08:30 +0000 2024
schfess,sch! pelajar sekarang 90% stres 5% sakit mata 5% sakit pinggang https://t.co/SOffkE9gYB,Sat Aug 21 00:41:55 +0000 2021
idkwhoisthis24,KEMBALIKAN TIMELINE KU YG ISINYA KUCING GEMAS DAN KELUH KESAH MAHASISWA TTG PERCINTAAN / PERKULIAHANNYA,Wed Feb 14 20:35:58 +0000 2024
HmjAP_uin, [𝐑𝐔𝐌𝐀𝐇 𝐀𝐏: 𝐑𝐔𝐀𝐍𝐆 𝐀𝐒𝐏𝐈𝐑𝐀𝐒𝐈 𝐌𝐀𝐇𝐀𝐒𝐈𝐒𝐖𝐀 𝐀𝐏] Assalamualaikum Warahmatullahi Wabaarakatuh Hallo Warga AP dimanapun berada! Sehubungan dengan adanya berbagai keluh kesah dari para mahasiswa mengenai UKT (Uang Kuliah Tunggal) https://t.co/cajlEih9Yi,Wed Jan 25 07:23:26 +0000 2023
vidyayulli,Ganjar sosok yg tulus dengerin keluh kesah mahasiswa. Ganjar Presiden https://t.co/3tJ5uCoqOj,Thu Oct 05 09:46:20 +0000 2023
ansk4z,keluh kesah mahasiswa agro setiap semester: https://t.co/ktSWgKJWPp,Thu Aug 29 16:25:06 +0000 2024
chaironariver,PLER PLER BARU HARI KETIGA KULIAH UDAH HARUS BEGADANG. Mana tuhas studio gaboleh dibawa pulang. (Akun ini kembali ke akun keluh kesah mahasiswa arsitektur part 2) https://t.co/GKFplxlz1v,Tue Mar 05 11:21:22 +0000 2024
kaorruko,Keluh kesah mahasiswa sperti 3,Mon Dec 11 14:55:45 +0000 2023
butterkidy,macam macam keluh kesah mahasiswa di pagi hari https://t.co/clVuIwxTbV,Wed May 10 02:16:48 +0000 2023
javachipeu,keluh kesah mahasiswa awal yang pp alias pen ngekost aja jir ada ga si kost kostan yang mingguan gt https://t.co/QhChKiB3DX,Thu Aug 15 15:07:36 +0000 2024
rahard,keluh kesah dosen: tipe mahasiswa kini https://t.co/ipzUr0k7PK,Wed Sep 20 02:55:55 +0000 2023
dawuhguru, Keluh dan kesah adalah ekspresi luka di sudut hati yang mencuat ke permukaan. Hanya kepasrahan kepada Tuhan yang dapat menyembuhkannya sambil meyakini bahwa Dia pasti embentangkan jalan terang pada saatnya. KH. Husein Muhammad https://t.co/IiUPY46Xsv,Sun Jan 09 14:06:28 +0000 2022
kadangdimars,Selain mengajar mendengarkan keluh kesah mahasiswa menjadi kegiatan sehari hari,Mon Apr 22 08:29:23 +0000 2024
chreena_,Keluh kesah mahasiswa nonreguler ya gini. Sedih lah kalo diceritain,Sun Nov 12 14:45:22 +0000 2023
schfess,sch! Kamu cuman beruntung saja diremehkan padahal belajar mati2an. Saya cuman beruntung saja menggunakan alasan ini padahal ambis banget belajarnya. Kira-kira beginilah pelajar yang sering saya temui. https://t.co/snfwjGmnIZ,Sat Nov 07 23:27:44 +0000 2020
BersinarProject,How being a College Student Feels by Latifah Balqis (Psikologi UI 2019) Pada thread ini kak @lalaterbangg bakal jelasin nih bagaimana rasanya menjadi mahasiswa pada zaman sekarang! Rutinitas kegiatan dan seluk-beluk menjadi anak kampus banget deh! Check the thread out yuk! https://t.co/asIz7Di5ud,Mon Mar 08 13:30:01 +0000 2021
urlovejenn,bener ya jgn ekspektasi apa². hati gua penuh bgt rasanya berat. Apa gua bikin thread aja ini keluh kesah mahasiswa semester 4 akhir,Wed May 29 14:29:14 +0000 2024
bem__upnvj,[ADKESFORMATION: HOTLINE ADKESMA BEM UPNVJ 2024] Halo Keluarga Mahasiswa UPNVJ! Siapa di sini yang masih kebingungan untuk mencari informasi seputar kemahasiswaan di perkuliahan atau memiliki keluh kesah sebagai mahasiswa/i UPNVJ⁉️ https://t.co/vHiSRrJl9n,Wed Jun 19 09:01:57 +0000 2024
sabrinarynt,keluh kesah mahasiswa yang bingung sama prodi @azkaastro_ https://t.co/MeP6N7yKX2,Tue Jul 18 19:02:03 +0000 2023
sririus01,Kiasan metafora paradoks Kata-katamu itu tak sampai kepadaku Tinggi pendidikanku dungu otakku! Keluh-kesah Mahasiswa Tolol [sei] #puiSRI,Tue May 09 16:30:41 +0000 2023
tanyarlfes, Spill keluh kesah kalian sebagai mahasiswa ayo https://t.co/WAoDLeKXqf,Thu Sep 22 05:19:35 +0000 2022
cc_chearia,@AREAJULID Perguruan tinggi terlalu fokus memperhatikan cuitan mahasiswa tanpa memperhatikan apa yg dikeluhkan. Harusnya keluhan itu dijadikan bahan untuk evaluasi ke depan yg tentunya membantu perkembangan univ. Keluh kesah selama tidak merugikan kan merupakan bagian dari hak mahasiswa,Sat Jun 20 14:35:36 +0000 2020
beeerdebuuu,sp maw denger keluh kesah mahasiswa smt 5? ,Tue Oct 17 12:10:07 +0000 2023
fullmoonkevin,[sunric short au] Cuma sebatas keluh kesah mahasiswa semester 5 https://t.co/DA0UZXTTwM,Sun Feb 12 07:11:08 +0000 2023
fkhri48,@A_FionyJKT48 see u ya nanti kita ngobrol lagi. 70 % ngobrol di VC cuma keluh kesah mahasiswa magang sambil skripsian mana kamu nyambung lagi diajak berkeluh kesah Terimakasih ya #VECEPIO https://t.co/k2nezG1i2N,Sun Jun 23 09:46:32 +0000 2024
Iucyeji,keluh kesah mahasiswa semester akhir https://t.co/EsnKA7UPwj,Fri Jan 26 13:50:52 +0000 2024
Mawadda57136809,Mata mengantuk jadi ga fokus nyusun pengen tidur tapi pasti gabisa tidur karena kepikiran. Serbasalahhhh Keluh kesah mahasiswa semester akhir #skripsi https://t.co/6VQVWnr8XQ,Sun Feb 11 13:59:29 +0000 2024
03__nakula,Tampang mahasiswa² ini cocoknya jadi sampul buku tentang PEDIH NYA SIKSA NERAKA . Mahasiswa kok rupane bludrek!! https://t.co/iSJuH1IAHP,Wed Sep 29 11:57:40 +0000 2021
AchsanulQosasi,Jadi Dosen dimasa Pandemi ini berat dan harus sabar. Kita siapkan materi Kuliah yg baik utk mereka tapi banyak siswa yg close video mungkin sambil tidur. Saat dibuka sesi tanya-jawab semua diam. Entah mengerti atau tidak. Atau mereka mungkin malah gak ada. Sarjana Pandemi. https://t.co/3VUCrK6SDd,Tue Jul 13 01:01:55 +0000 2021
HimaSarPar,Haloo temen Mahasiswa pariwisata Unchnud :)). akun twitter ini bertujuan untuk mendengarkan keluh kesah kehidupan mahasiswa pariwisata. Rule-nya : -No Toxic ️ -No Sara p.s: mimin nya baik soleh berbakti walau sedikit sampah anaknya SeeUinTheFuturee https://t.co/N0OYaeOf9A,Sun Apr 30 01:50:30 +0000 2023
amimomile,Selalu kepikiran kalo kuliah cuma buat ngejar gelar ngejar ijasah supaya gampang kerja supaya dihormat orang supaya bisa wisuda buat banggain orang tua. Kalo di semester empat meninggal. Allah bilang pulang. Mau gimana?,Sat Sep 05 11:06:39 +0000 2020
tedi_kamang04,Dear mahasiswa Kalo ngerasa capek kuliah Ingat ada orang yang lebih cape nyari duit buat kuliahin kamu. Capek itu hal yang wajar Mau ngeluh mau nangis silahkan. Tapi ingat jangan kecewakan orang yang udah berjuang untuk kuliahin kamu.,Wed Feb 19 11:41:35 +0000 2020
margianta,Di tahun 2021 terhitung ±5.500 peserta magang Kampus Merdeka macet uang sakunya. Mayoritas merantau *demi* magang sampai terpaksa makan indomie tiap hari. Ongkos kereta/pesawat pun macet reimbursenya. Ini sempet viral di sini. https://t.co/2dIdK5KQMl https://t.co/rolkNBk4Wc,Sat Jan 20 02:26:19 +0000 2024
maszlee,Student Union atau Kesatuan Pelajar adalah realiti baru yang direncanakan untuk memberikan suntikan rejuvenasi kepada citra kemahasiswaan. Buku yang dihasilkan oleh para ilmuan dan aktivis dari IIUM ini amat signifikan untuk para pembaca memahami konsep Student Union. https://t.co/ucffDdbSfH,Thu Aug 13 08:30:38 +0000 2020
mutialatte,Panjang umur buat mas print mas mbak kantin fip um dan siapa pun yang dengerin keluh kesah mahasiswa tingkat akhir ini ,Mon Jan 22 09:53:26 +0000 2024
chihiroogin0_,ada 3 macam keluh kesah mahasiswa semester akhir: 1. yuk bisa yuk 2. bisa gila 3. bisa tapi mati,Thu May 09 08:03:55 +0000 2024
urfavvjunee,akun ini akan berisi curhatan dan keluh kesah mahasiswa semester akhir :),Tue Jul 09 06:51:51 +0000 2024
upt0uu,sumpah kenapa ya tl ak jadi banyak keluh kesah mahasiswa smt 7 anjjhshshsjhshs satu sisi merasa kesel tp satu sisi jg seneng berati banyak temen stressnya hehe,Thu Nov 02 13:39:17 +0000 2023
halloininanda,grup kuliah rame lagi berasa balik ke masa masa isi grup isinya keluh kesah mahasiswa mau lulus huftttt kangen bgt. skrg grup rame kalau bahas bukber atau laporan spt wkwkwk sangat adegan dewasa,Wed Apr 03 15:59:35 +0000 2024
perogeremmer,Kalo kamu lagi kuliah dan sedang fokus mengejar mimpimu jangan kaget kalo kamu: - Lebih banyak sendirian - Kehilangan teman - Dicap aneh karena bertingkah gak kaya mahasiswa lain - Menemui banyak kegagalan dan kesedihan Memang begitu fasenya berjuang nikmati aja. Cepat atau,Thu Apr 25 07:42:19 +0000 2024
sunminksm,baru kelar ngerjain s word terus iseng baca eskalokal demi allahh rasanya kaya di temeninn hhuhuu relate bgt sangat amat mewakili segala keluh kesah mahasiswa tingkat akhir,Thu Jun 08 20:57:32 +0000 2023
mimpisetan,tl ku hari ini dipenuhi oleh keluh kesah sebagai mahasiswa semangat temen2ku dunia yang sebenarnya baru saja dimulai ,Fri Sep 08 14:55:05 +0000 2023
alchemacyst,keluh kesah mahasiswa pp: bingung ttp brgkt ngampus apa egak waktu dosennya gajelas blio bisa ngajar apa egk. klo misal ngabarinnya mepet ya gue telat dong bjir.,Mon Feb 19 01:17:56 +0000 2024
cookie65886795,Siap menerima semuaaa keluh kesah mahasiswa ilkom walaupun diri ini misuh misuh,Tue Aug 08 05:36:56 +0000 2023
Ggvkkiee,keluh kesah mahasiswa semester akhir https://t.co/PBBvKJzfUE,Fri Dec 29 15:52:43 +0000 2023
sebuakeluhkesah,Gausah mengejar ilmu sampai ke negeri China sekolah disini aja kalo males belok ke warnet. https://t.co/QNcLLrjygJ,Thu Mar 25 11:33:30 +0000 2021
halfsat4n,keluh kesah mahasiswa putus kuliah gini bgt tai,Tue May 30 21:35:28 +0000 2023
broccoliarrr,nihh dosen yg lain tutup mata apaya sama keluh kesah mahasiswa akan satu dosen ini soalnya beliau ngajarnya beneran ga nyambung sama JUDUL MATKULNYEHHHHH BJROT nyanyi mulu kenapasihhhhh ada kepuasan tersendiri kah dengerin mahasiswanya nyanyi???,Fri Nov 10 04:12:46 +0000 2023
Detektif_Jatim,Keluh Kesah Mahasiswa KKN Malaysia IAIN Madura Hadapi Pekerja Migran Indonesia https://t.co/K2SeX8sYYu,Sat Aug 17 03:11:26 +0000 2024
WEKD111,@ telkom LU KAPAN BROOOO DENGERIN KELUH KESAH MAHASISWA LU,Fri Oct 27 19:30:47 +0000 2023
hangryeo,keluh kesah mahasiswa semester empat,Sun Jun 11 21:13:51 +0000 2023
PPI_Italia,Hidup di Italia itu apakah hanya tentang Pizza Gelato dan bangunan-bangunan yang cantik itu? Eitss it is way more than that! ️ Yuk sini-sini simak #CurhatanKitadiItalia buat tau ttg cerita random unik bahkan keluh kesah para mahasiswa di Italia🇮🇹,Fri Mar 22 17:47:19 +0000 2024
mradamakmal,|MAHASISWA KECEWA| Ini antara luahan para mahasiswa tentang kekecewaan mereka tentang pengurusan. Luahan demi luahan dibuat. Apa solusi daripada KPT setelah setahun setengah kita ber-ODL. https://t.co/6j2Ja9vxKI,Tue Jul 27 13:32:53 +0000 2021
mojokdotco,Keluh Kesah Mahasiswa UM terhadap Trotoar Kota Malang: Trotoar kalau Nggak Rusak ya Jadi Tempat Jualan Pejalan Kaki Nasibnya Gimana Bolo? #TerminalMojok https://t.co/xT8axMwhyv,Wed Jan 17 05:06:07 +0000 2024
refoxyhctj,Sedih kl liat ini kampus tercinta ini jg akhirnya gamau denger keluh kesah mahasiswa/i nya wkwkwk *Laugh in pain,Sun Aug 20 06:41:17 +0000 2023
Metro_TV,Viral di media sosial cuplikan video yang memperlihatkan dialog publik antara sekumpulan mahasiswa dengan DPR RI Komisi X. Seorang mahasiswa mengungkapkan keluh kesah tentang pembayaran UKT yang dinilai semakin tak masuk akal. #dprri #dpr #komisi10 #kemdikbud #nadiemmakarim #ukt https://t.co/U28h67M2ea,Tue May 21 06:16:03 +0000 2024
Tkosong4R,KELUH KESAH MAHASISWA Assalamualaikum wr.wb salam hormat untuk pak Prabowo Subianto https://t.co/5vjfwpBYaW,Fri Jan 12 05:57:05 +0000 2024
_Rizmaya__,Apa yg terjadi saat ini ternyata lebih memprihatinkan dari apa yg diingatkan mas @budimandjatmiko pada para Mahasiswa sebelumnya. Faktanya skrg sebagian Mahasiswa bukan sekedar terjebak tp sdg berjalan mundur ke era sesat khilafah &amp; gelapnya masa lalu. https://t.co/Bjr8m8vpCB https://t.co/mSUExrlaG1,Mon Apr 18 10:44:58 +0000 2022
chairunaim,KELUH KESAH MAHASISWA Assalamualaikum wr.wb salam hormat untuk pak Prabowo Subianto https://t.co/wUmsZpmz1j,Mon Jan 08 11:32:50 +0000 2024
GilangS40435323,KELUH KESAH MAHASISWA Assalamualaikum wr.wb salam hormat untuk pak Prabowo Subianto https://t.co/mtnOuefpVm,Mon Jan 08 16:09:35 +0000 2024
feri56960,KELUH KESAH MAHASISWA Assalamualaikum wr.wb salam hormat untuk pak Prabowo Subianto https://t.co/dosuvPyBvn,Fri Jan 12 07:48:43 +0000 2024
Nday20394043227,KELUH KESAH MAHASISWA Assalamualaikum wr.wb salam hormat untuk pak Prabowo Subianto https://t.co/QwzCIy4BrT,Tue Jan 16 01:41:35 +0000 2024
SajaSembang,Dilema seorang student : 1) Cuti mereput. 2) Tak cuti nak cuti. 3) Dah cuti mereput lagi dan lagi.,Thu Mar 12 07:33:16 +0000 2020
rinajulianii,gue bacain smua keluh kesah mahasiswa ketemu dosen rese wkwkwk ampe gedeg sndiri anjjj,Mon Jun 19 10:42:18 +0000 2023
watashiwakrin,eh kemenkes punya platform buat keluh kesah mahasiswa poltekkesnya ga si @KemenkesRI,Sat Jan 27 18:02:27 +0000 2024
