username,full_text,created_at
MajorStarMan,Mahasiswa kumpul2 di warung mengganggu warga sekitar itu gejala. Penyakitnya: Kampus ga bisa (atau ga mau) buka 24 jam untuk menjadi ruang belajar diskusi &amp; bertukar pikiran. Ga semua orang punya uang untuk ke kafe2 atau co-working yang proper.,Thu Feb 08 12:55:57 +0000 2024
huangsellenian,Ini lebih ke keluh kesah mahasiswa sih,Mon Jul 08 14:15:10 +0000 2024
dsuperboy,Dulu ada yang bilang kuliah di mana pun sama aja yang penting kita sebagai mahasiswanya. Nggak sepenuhnya benar nggak salah juga. Tapi kuliah itu masa-masa penting membentuk diri. Membentuk karakter. Lingkungan kita sangat berpengaruh pada cara kita bersikap. Cara kita,Thu Feb 01 08:15:55 +0000 2024
TERClPTA,Ini mah fix pihak Univ nya dzalim. Padahal mendengarkan pendapat dan keluh kesah mahasiswa gak akan bikin dana kampus langsung jadi nol. Cuma butuh telinga dan hati buat sekadar mendengarkan suara mahasiswa.,Fri Jun 28 07:18:05 +0000 2024
ahnafau,Banyak mahasiswa yang ga sadar akan keistimewaan yang dimilikinya banyak juga orang yang mau jadi mahasiswa tapi ga punya makna lebih di balik itu selain gengsi dan tuntutan sosial. A thread tentang privilege mahasiswa dan cara memaksimalkannya.,Tue Jan 11 23:36:36 +0000 2022
sugarisee,@collegemenfess Drama kkn karena ga cocok sama orang orang sekelompok. Beda pemikiran beda visi misi jadinya selama kkn itu beneran ga nyaman dan yang paling parah sih pas ngerjain laporan dan jurnal kkn sendiri. Mereka justru pada sibuk packing packing sedangkan aku ngerjain sendiri :),Sun Dec 24 03:51:37 +0000 2023
dsuperboy,Dulu ada yang bilang kuliah di mana pun sama aja yang penting kita sebagai mahasiswanya. Nggak sepenuhnya benar nggak salah juga. Tapi kuliah itu masa-masa penting membentuk diri. Membentuk karakter. Lingkungan kita sangat berpengaruh pada cara kita bersikap. Cara kita,Thu Feb 01 08:16:11 +0000 2024
WidasSatyo,Sering baca kendala skripsi mahasiswa adalah faktor dosen yg ngilang tanpa kabar. Kalo emg demikian case nya normalize komplain ke pihak kampus karna Anda bayar UKT tuh gak murah. You paid those hard earned money but you cant even get your basic rights as student? Nope........,Wed Feb 03 13:59:25 +0000 2021
hujandanjuni,setelah melihat keluh kesah mahasiswa ITB di Twitter kok orang orang masih pada mau ke ITB ya ,Fri Mar 15 01:04:48 +0000 2024
ErsaTriWahyuni,Kasus kedua mahasiswi sepertinya baru kali ini merantau pisah dari orang tua. Merasa sering kesepian di kostnya. Susah beradaptasi dengan lingkungan. Badannya jadi kuruusss banget. Sedih banget lihatnya deh. Gak doyan makan dia.,Sat Feb 27 15:16:36 +0000 2021
kkonnichihan,Ya Allah tbtb smt 6 biasanya cuma baca di base keluh kesah mahasiswa smt 6 skrg hrs ngerasain aAaaaa musowooo,Mon Feb 26 01:59:43 +0000 2024
mounsterxx,kayanya susah-senang keluh-kesah mahasiswa arsi yg bakal ngerti cuma anak arsi doang,Thu Jan 12 12:31:58 +0000 2023
IZZTAZWAR,Aku dulu ada member selalu cakap macam ni... Alaaa kau student je. Apa banyak sgt masalah kau mcm lagi teruk dari aku yang dah bekerja ni. Trust me. Students pun banyak masalah. - Assignments - Submissions - Tak cukup tidur - Financial issues - Pressure nak habis belajar,Mon Oct 26 10:50:19 +0000 2020
marjanijoo,sepi bgt tl gue ga ada seliweran keluh kesah mahasiswa di base colle semoga basenya tetep jalan sampe nanti ya gue blm lulus pls mau ikutan thanks base juga ,Thu Apr 27 11:20:13 +0000 2023
tedi_kamang04,Problematika kuliah online. Di grup mata kuliah: Siap pak ok pak Baik pak Paham pak Di grup kelas: Anjir susah banget tugasnya Jaringan internet gw jelek Kuota gw sekarat anjir Gimana sih maksudnya Tugas lagi tugas lagi Pusing Capek kuliah online ,Sat Apr 11 02:56:48 +0000 2020
arpeeen,Alasan mahasiswa keos 1. Ambil sks kebanyakan. Karena normalnya kuliah itu 18-20 sks. Kalau 24 sks tandanya lembur. Banyak yang ngerasa siap tapi ga siap buat lembur ini. 2. Menunda tugas. Padahal kalau pas ngerjain tugas itu fokus ga sambil main hp kelarnya cepet. Cont.,Thu Sep 16 04:18:03 +0000 2021
AndiSinulingga,Mahasiswa itu kaum terdidik mereka lebih substantif dan tak mudah di pengaruhi dgn gimik2 https://t.co/q0flg3x8Nf https://t.co/q0flg3x8Nf,Mon Sep 18 13:55:57 +0000 2023
ndabercerita, Aku jugaaa mau bilang makasihh banyakk sama kamu ndaa udh mau dengerin keluh kesah mahasiswa semester akhir ini semoga kita cepet luluss ya!!! AAMIIN - Semangat terus ya kita harus berhasil sampai wisuda!! #tellonym https://t.co/yVikc1UUYf,Thu May 30 14:08:01 +0000 2024
englishfess_,bagi keluh kesah kalian sebagai mahasiswa pendidikan bahasa inggris dong -eng,Sun Jan 14 13:25:11 +0000 2024
aprilliouz,Misal dosenmu tiba tiba bilang kelasnya jadi malam ya. bisa kan? kan kalian ga harus ke kampus.. atau tugasnya nambah ya dikerjakan online kan ga harus diprint.. tanpa disadari mindset yang online selalu lebih mudah membuat beban pelajar bertambah,Mon Sep 20 06:13:25 +0000 2021
Rakwono,HOY AKHIRNYA GUA BISA WISUDA! Setelah buat petisi dan diskusi bareng mahasiswa lain dan duduk bareng rektor hari ini alhamdulilah kuota ditambah rekornya mau denger keluh kesah mahasiswa nya tanpa harus demo dulu.,Fri Dec 29 10:05:35 +0000 2023
marmar_abdur,@yeahmahasiswaa ada yang kupu-kupu karena punya bisnis di rumah kerja karena bantu orang tua ngejagain adik atau kakek-nenek persiapan lomba dll udah lah jangan mengotak-ngotakan mahasiswa kita bertahan kuliah aja kadang sulit,Tue Jun 15 08:00:25 +0000 2021
ipb_menfess,punten apakabar mahasiswa smt akhir? Reply yang mau keluh kesah dll. Luapkan saja ,Fri Jun 14 07:47:53 +0000 2024
hasyimmah, Parenting -Sekadar pendapat pribadi- Minggu lalu anak saya (perempuan) yang kuliah di Surabaya menelepon sambil nangis bombay. Hari itu adalah hari pertamanya dia magang. Dia mengeluh kondisi di tempat kerja yang tak seperti dia harapkan dan menyatakan ingin berhenti magang. https://t.co/hjEFJx7Gxi,Sun Sep 03 13:47:18 +0000 2023
dhupan,keluh kesah mahasiswa/i-nya @nilsarputut,Sun Oct 22 13:37:44 +0000 2023
ismailfahmi,@fuckingdustbag @UGM_FESS @itbfess @ubsansfess @undipmenfess @berlianidris @ccmoru @JeblukAkun @UPIfess @MichelAdam7__ @usufesss @DrEvaChaniago @airlanggafess @kloropasta RANGKUMAN Cuitan-cuitan ini mengungkapkan perasaan mereka terkait kesesuaian atau ketidaksesuaian antara pendidikan yang mereka terima dan pilihan politik mereka. Rangkuman dari data tersebut bisa dibagi menjadi beberapa tema utama: Kekecewaan atas Pilihan Politik: Sejumlah https://t.co/toyJehZsz3,Sun Jan 28 14:59:05 +0000 2024
IamPrasPrasetja,It has been a month and I have yet sleep peacefully. Literally tengah malam bangun karena kepanasan dan harus cuci sprei 2hari sekali dari yang tadinya seminggu sekali. Jujur capek dan frustasi banget dengan kondisi ini.,Thu Oct 19 12:23:14 +0000 2023
ardisatriawan,Magang ala MBKM teorinya diakui 20 SKS per semester. Berarti dari 144 SKS kuliah -nya jadi tersisa 124 SKS. Kalau 2 semester magang jadi 104 SKS. Terus anak-anak ini abis magang disuruh skripsi. Dengan 40 SKS yang hilang. Giliran dibimbing susah dan lulusnya lama ,Sat Jan 20 08:37:43 +0000 2024
untirtafesss,untircoy! karena dari kemarin sender udah banyak baca keluh kesah mahasiswa untirta di menfess. sekarang waktunya sender nanya apa sih hal yang bikin kalian seneng dan jatuh cinta sama untirta! rep doong warga untircoy ‼️,Mon Aug 05 08:27:27 +0000 2024
coffebit,Setiap study tour selalu ada satu siswa yang muntah pusing selalu pegangan minyak kayu putih. Tiap turun ke destinasi wisata doi hanya tiduran di bus.. yang ada dipikirannya cuma pengen balik sendiri naik taxi.,Fri May 15 12:06:10 +0000 2020
gamelody_,potret keluh kesah mahasiswa DKV,Sun Oct 15 14:46:17 +0000 2023
ujungkelon,base undip ini terlalu random buat jadi base kampus yg isinya keluh kesah mahasiswa,Mon Feb 20 13:27:43 +0000 2023
utfess,lapak keluh kesah mahasiswa ut!,Sun Apr 16 16:27:52 +0000 2023
AimanPsikologi,Unpopular opinion Tetapi ada kemungkinan tak untuk kita anggap pelajar baru masuk mendaftar itu sebagai: 1. Ada akal 2. Ada emosi 3. Ada ilmu 4. Ada kematangan tersendiri Jadi kendalikan sesi orientasi dengan fahami mereka ialah dewasa muda yang ada keempat-empat faktor ini.,Tue Sep 22 12:13:38 +0000 2020
Jihan_frl,@collegemenfess Sebelum UAS : minggu overthinking Sedang UAS: minggu overthinking Setelah UAS: minggu overthinking Libur semester: minggu berjanji aku bakalan berubah next semester jadi rajin pada diri sendiri namun hanya janji palsu karna kemalasan ini lebih mendominasi,Wed Jun 23 14:52:59 +0000 2021
IamPrasPrasetja,Kehantam masalah &gt; mundur istirahat &gt; merancang rencana untuk progress &gt; menyelesaikan masalah &gt; berhasil dan pulih. Itu tidak sama dengan Ada masalah &gt; kabur ditimbun &gt; masalah baru &gt; kabur ditimbun &gt; masalah lain &gt; kabur ditimbun.,Thu Nov 24 10:00:37 +0000 2022
OHMYV3NUS,@AREAJULID Sebagian besar mahasiswa pernah alay pada saat jadi maba. Sebagian Kating pasti waktu awal jadi maba juga kayak gitu. Dikit-dikit update status stories tentang kegiatan kuliah fotoin laptop dengan caption tugas banyak banget kamu ngga mau ngebantuin aku? atau bismillah .,Thu Sep 09 04:23:28 +0000 2021
IamPrasPrasetja, Lah masa gitu sih? Gimana kalau clientnya nyebelin? Orang dengan masalah kejiwaan (ODMK) dan orang dengan gangguan kejiwaan (ODGJ) jelas berpotensi akan menyebalkan that is the whole point of masalah dan gangguan. Karena akan mengganggu hidup seseorang dan seorang .,Mon Feb 12 11:34:34 +0000 2024
angladiolus,kalo ada lewat tl kalian keluh kesah mahasiswa bacot skripsian itu baru 20% aslinya kaya orang gila (gak boong) masalahnya skripsi gak mudah blm lagi hidup dilingkungan yang gak mendudukung :(,Thu Jul 20 17:00:37 +0000 2023
Exhausted022,@collegemenfess 3. Mental down karena liat yg lainnya udah grow up jauh. 4. Keluarga yang terus nanya kapan selesai . Pertanyaan simpel tapi kadang bikin kita NYESSS SAKIT BGT 5. faktor kerja/magang &amp; bagaimana bagi waktu 6. Jadwal ujian fakultas tuh kadang sampe 1bulan 2 bulan,Tue Oct 25 23:47:03 +0000 2022
IamPrasPrasetja,TAU GA SI LO PENYAKIT KEK GINI TU KEJADIAN JUGA SAMA ANAK PSIKO S1?? Semua keluhan keswa langsung tembak gangguan kepribadian gangguan organik atau mood klinis. Padahal pas ditelusurin karena kurang tidur sama kurang makan teratur doang. ,Thu Nov 09 05:02:24 +0000 2023
fauzanalrasyid,Empat bulan dari sekarang ... 10 September 2020 kamu sudah jadi anak kuliahan alias MAHASISWA kamu sudah masuk kelas bertemu dosen bertemu kakak kelas yang itu tuh mungkin sedang ikut masa orientasi intinya ... kamu di kampus BUKAN di rumah.,Sun May 10 11:51:24 +0000 2020
WidasSatyo,Banyak mahasiswa perantauan yg sering ngalamin shock culture. Ndak terkecuali urusan makanan. Kadang lidahnya masih kaget gitu. Cuman ada satu buah yg relatif sama-sama gak disukai mahasiswa manapun. Mau anak lokal ataupun perantauan. Nama buahnya belimbingan skripsi......,Mon Feb 08 01:01:27 +0000 2021
tinkerabhel,keluh kesah mahasiswa smt 7,Mon Oct 16 01:34:47 +0000 2023
ikhwanuddin,mahasiswa itu aslinya mindsetnya kerja dan mereka butuh pengalaman praktis cuma sama ortunya disuruh masuk program Sarjana dan bukan Vokasi terbatas banget yg paham apa perbedaan Sarjana dan Vokasi belum lagi tren magang ini diperparah dgn menjamurnya Bootcamp untuk S1,Wed Mar 06 11:13:10 +0000 2024
udinnseduniyaa,isinya keluh kesah mahasiswa yuk bisa yuk belajar disiplin jugak pak buk anakmu berusaha menghargai waktu :'3,Sun Oct 15 23:36:47 +0000 2023
kumparan,Mahasiswa asal Jakarta di Malang merasa dilema pulang takut karena corona mewabah tak pulang pun kesepian di kos. #publisherstory https://t.co/wjIU2hiJZV,Sat Mar 28 03:35:02 +0000 2020
IamPrasPrasetja,Kalimat lucu yang berkaitan sama akademia bulan ini adalah joki-jurnal . Joki jurnal tuh sama kayak joki narik uang di ATM pakai kartu debit sendiri dan ngambil dari rekening sendiri. Alias kerjain sendiri aja bisa lho itu tinggal baca dan ikutin stepnya .,Mon May 27 18:46:30 +0000 2024
IamPrasPrasetja,Ada satu jurusan soshum di Indonesia yang secara kurikulum pendidikannya didesain untuk bisa mengolah dua jenis data ini. Nama jurusannya psikologi. ️ Makanya mahasiswanya pas semester 4-6 itu biasanya punya wajah yang kusut banget-bangetan karena diisi metpen kuan &amp; kual.,Sat Aug 17 07:02:48 +0000 2024
ruhtrooveye_s,@collegemenfess kalo itu terjadi.... semester 1 : menangis semester 2 : depresi semester 3 : hampir gila semester 4 : bundir,Wed Apr 28 15:09:21 +0000 2021
dimazsetiawan_,@collegemenfess liat reply an banyak yg bilang gausah ngeluh itu masih tugas belum realita kehidupan nih pesan w dari smt 5 ke smt 3 sok atuh ngeluh aja gapapa manusiawi. namanya lelah krn kuliah karena tugas itu wajar jadi gausa dengerib Kating mu yg suka banding2in hidupnya sm hidupmu,Sat Nov 07 16:08:24 +0000 2020
IamPrasPrasetja,Setelahnya ditambah secara emosional dan psikologis capek juga udahlah cocok emosi jadi kayak lagi balonku meletus dan mengucapkan/melakukan tindakan yang di luar kontrol. Artinya bukan cuma gaji yg dicari ketika kerja tapi faktor lain seperti jarak jg perlu dipertimbangkan.,Sat Jan 20 07:34:57 +0000 2024
IamPrasPrasetja,@ihadtogoape Yup benar sekali! Tapi sayangnya kurikulum SMP dan SMA kita tidak mengajarkan secara penuh (kalaupun ada cuma anak eskul karya tulis) eh pas sudah masuk kuliah enteng banget ngomong kan sudah MAHAsiswa masa harus disuapin . ,Fri Nov 17 10:57:01 +0000 2023
menghanyurkan,@collegemenfess pada jahat-jahat banget deh mahasiswa. Aku dulu juga ngomong begini pas SMA. Sekarang kuliah ga nyesel kok walaupun tidur paling lama 4 jam sehari itu juga keajaiban tidur selama itu. Bagus dong dia punya semangat buat kuliah kok malah dijatuhin.,Wed Feb 26 23:31:27 +0000 2020
tedi_kamang04,Ketika dewasa seseorang bakalan capek dengan permasalahan hidupnya Beban hidup semakin menumpuk masalah yang gak ada habisnya sering insecure mental gampang down dan otak yang tak pernah berhenti overthinking,Fri Sep 03 13:06:42 +0000 2021
rahulvenya,@erasmus70 Mahasiswa baru disibukan sama urusan ospek Mahasiswa pertengahan disibukan magang Mahasiswa tua disibukan skripsi Mahasiswa lainnya disibukan mikirin cara bayat UKT yg tiba tiba melonjak baik. ,Wed Aug 21 07:23:14 +0000 2024
IamPrasPrasetja,@collegemenfess Gampang memang mikir salah sendiri pulang pada posisi tersebut yang jelas gak salah (dosen telat 1 jam) sampai hal tersebut terjadi pada diri kalian sendiri. Karena kalian ngga ngerasain ada pada posisi dia biasakan punya dan menjaga empati.,Tue Nov 01 07:58:59 +0000 2022
ikhwanuddin,MBKM memaksa mahasiswa untuk memilih ikut aktivitas di luar kampus atau ikut kurikulum teoritis di kuliah. Teoritis atau nggak ini debatable karena kampus umumnya punya dana terbatas untuk praktikum. Meskipun di semester 6-7 sebenernya udah nggak dasar-dasar amat malah,Wed Mar 06 11:41:54 +0000 2024
sepatuconceal,Keluh kesah mahasiswa pp berpuluh puluh kilometeor,Thu Dec 28 10:29:02 +0000 2023
unjsecret,From : Ketum BEMPTM To : Seluruh Mahasiswa UNJ Buat kalian yang ga suka dengan mahasiswa Teknik Mesin bisa langsung temui gua di kampus kita ngopi bareng. Sampein keluh kesah kalian secara langsung jangan di akun ini!,Thu Sep 14 14:59:27 +0000 2023
fideljuseyoo,@collegemenfess 99 dari 100 mahasiswa memikirkan nya setiap : -dia resah -dia tau temen nya udah kerja -dia merasa insecure kalau ilmu nya masih kalah sama temennya -ipk nya jelek -ipk nya turun -ipk nya naik - - - tau ah tambahin sendiri,Wed Jul 08 16:32:08 +0000 2020
bimaprawira,Mengenai perkara joki ini ada temen2 dosen yg cerita dalam beberapa tahun terakhir makin banyak mahasiswa yg ga lulus/ngulang sidang skripsi/kolokiumnya. Alasannya bukan karena skripsinya jelek atau tidak koheren tapi karena ketika ditanya mereka ga bisa jawab SAMA SEKALI.,Mon Jul 22 05:48:12 +0000 2024
tanyakanrl, apa keluh kesah kalian selama jd mahasiswa?,Thu Dec 28 04:25:15 +0000 2023
B00mSakaLaca,Keluh kesah mahasiswa semester tua,Fri Feb 03 06:17:02 +0000 2023
mhsgunadarma,Nasib lulusan tahun ini: - Dihajar corona. - Dikejar bimbingan online. - Diterpa Wisuda online tapi bayar full. - Diperkosa UU Cipta Kerja. Ibarat peribahasa. Sudah jatuh tertimpa tangga milik tetangga.,Mon Oct 05 14:42:23 +0000 2020
bayuuubiruuu,Tak terasa hari rabu tiba semua peserta KKN datang ke kampus. Berbagai perbekalan mereka bawa sebab KKN di semester pendek akan berlangsung selama dua bulan. Begitu juga dengan kelompok Ayub dkk ia membawa berbagai perlengkapan yang dibutuhkan.,Wed Jul 01 15:02:28 +0000 2020
IamPrasPrasetja,Contohnya adalah pegawai yang disemprot sama atasan di depan rekan kerjanya nah pegawai ini pastinya merasa malu dan tersinggung atas perlakuan atasannya tersebut tapi gabisa melawan karena.. Ya atasan mau dipecat kah? Akhirnya dia mendem itu emosi malu &amp; tersinggungnya.,Thu Feb 01 12:35:58 +0000 2024
IamPrasPrasetja,pemerataan kurikulum sampai ada konteks konflik internal komunitas psikologi yang buat kalian yang tidak ambil pend. psikologi secara formal itu gabisa relate sehingga mandang keluhan ini cuma sebatas ngeluh . Kami para S.Psi mengeluh ke SISTEM di Indonesia bukan ilmu-nya.,Thu Dec 07 12:13:38 +0000 2023
rahulvenya,@firabersafari Mahasiswa skrg sama.pemerintah disibukin buat magang kalo gak sibuk magang dibikin sibuk buat mikirin biaya kuliah yg dibikin makin mahal. Jadi mahasiswa gada waktu buat turun ke jalan untuk menyuarakan aspirasi karena otak udah dipenuhi dengan problem lain:(,Tue Aug 20 22:33:04 +0000 2024
hisjam,@sosmedkeras Yang bakal ada nanti menurut gue ya : 1. Mahasiswa yang Cengeng 2. Mahasiswa yang Songong Udah kejadian di level SMP dan SMA saat guru takut untuk mendidik secara tegas karena dikit² lapor polisi maka siswa menjadi ga sopan ke guru. Lagian sekiller²nya dosen paling ngasih,Sun Nov 05 15:19:39 +0000 2023
manggasanguan,@AREAJULID Oh iya dan kondisi mental mahasiswa akhir tuh benar-benar sensitif ngelihat teman seperjuangan dah pada lulus ada yg dah sukses berkarir ada yg sudah membina rumah tangga. Kadang melihat itu semua membuat kondisi mental terguncang jadinya bikin gak fokus nyekripsi.,Thu Dec 01 08:24:13 +0000 2022
Whitesaturn_,@collegemenfess Tapi kebanyakan mahasiswa malah bangga kalo udah ngerjain tugas sampe stress maag begadang 7hari 7malem diromantisasi malah ,Sun Nov 29 11:04:28 +0000 2020
tanyarlfes,Boleh tahu ga keluh kesah kalian selama kos berdua saat jadi mahasiswa ,Wed Nov 22 07:41:26 +0000 2023
keringet_selet,@collegemenfess sak gede gedene masalahmu ketika kamu ngomong ntah itu dengan temanmu keluargamu atau siapapun itu ojok sampe omonganmu sengak wajahmu ga enak karna mereka juga punya masalah ojok nggarai tambah sumpek tetep kudu isok ngendalikno awak e dewe,Fri May 07 01:37:50 +0000 2021
TeguhTatong,@tvOneNews Menyedihkan membaca ada Rektor yang melaporkan Mahasiswa yang mengkritik biaya kuliah yang mahal. ada beberapa hal yamg mendasar dan fatal Pertama Rektor harus nya menjadi contoh bagi kehidupan Kampus yang sehat dimana seharianya terbiasa menghadapi kritik sebagai alat,Thu May 09 11:02:36 +0000 2024
bychxze,Aku 3 hari tiap di perjalanan pulang dr kerja selalu nangis krna aku gagal kuliah disaat tmn² aku pada upload kata² slmt aku harus kerja pulang malam. Trnyt aku krg bersyukur,Fri Jul 12 17:09:33 +0000 2024
nosyalgia,@collegemenfess beneran si asli disemester 4 rasanya males banget kuliah sering ngerjain tugas mepet deadline banyak marahnya keselnya stress jadi takut melangkah ke semester selanjutnya ,Thu Apr 15 13:19:41 +0000 2021
suhairi4hmad,Kegagalan mahasiswa bikin skripsi karena sejak awal mereka tak pernah diberi tau bagaimana menulis dengan baik. Sering diminta bikin makalah tapi ditumpuk semata tanpa memeriksanya lebih lanjut. Dan hal tersebut juga diperparah oleh pengajar yang juga tak pernah menulis.,Wed Sep 06 11:43:43 +0000 2023
aprilliouz,@collegemenfess Sender aku gatau kamu kirim menfess ini beneran belum mengenal skripsi atau lagi sarkas. Intinya tiap tingkat di kuliahan sama-sama punya tantangan yang ga disepelekan. Maba penuh dengan keterkejutan dalam beradaptasi. Tingkat selanjutnya ada yang disibukan organisasi. Tingkat,Mon Sep 11 03:25:43 +0000 2023
veystories,@tanyarlfes oiya plis banget orang orang STOP ADU NASIB. stop merasa jadi orang paling cape. PLIS STOP ARRGHHHH. gua cape cape skripsi ngejar ngejar dosen. anak sekolah sekarang malah... STOP. skripsi cape memang. anda ini mahasiswa mau dapetin GELAR RESMI. perjuangan kayak gitu ,Sat Jun 29 04:06:31 +0000 2024
direktoridosen,3 mahasiswaku yang sudah semester 14+++ akhirnya memutuskan jalan hidupnya. ketiganya memilih untuk pindah kampus. mereka burnout parah sekali hati mereka hancur berkali-kali melihat teman-teman angkatan mereka lulus dan syukuran ketrima kerja. good luck fellas ,Wed Jan 17 00:02:22 +0000 2024
Wakhidnurrokhim,Hari pertaman KKN yang cowok dan cewek berantem karena berebut kamar untuk tidur yah wajar saja karena ada 2 kamar dan aula yang tidak boleh ditempati karena hanya diperbolehkan memakai 2 ruangan saja yaitu ruangan tamu dan ruangan diampit oleh aula dan 2 kamar kosong itu.,Tue Oct 12 09:02:48 +0000 2021
cienvoir,@collegemenfess Kok bisa ada orang kayak kamu yang nganggep orang kena mental illness trus disuruh cuti sampe sembuh sebagai sebuah kesialan? Kehidupan kampus itu berat kalo dia jalanin sambil berobat bisa jadi dianggap akan menghambat penyembuhan. Gini aja masa' masih perlu dijelasin sih?,Thu Oct 27 00:56:49 +0000 2022
itsday6official,@reejakulasi @collegemenfess Ini bener banget malah jadi insecure sendiri. Kira-kira dengan nilai begini bisa survive ngga ya di dunia kerja. Karena kuliah kan basicnya lebih ke teori. Dan pada akhirnya kuliah juga bekal buat kerja ,Sat Aug 22 18:16:09 +0000 2020
mintroulette,@miavian_ @lemparkeun @collegemenfess Mahasiswa apa apa salah kdg sampe ga mikir kesehatan mental mahasiswa. Dosen cape kerja mahasiswa jg cape menghadapi tekanan akibat dosen yg apa-apa nurutin suasana hati dia belum lg mahasiswa yg sulit mslh biaya broken ortu skt byk bat masalah ga cm dosen aj yg manusia:),Thu Jan 09 17:34:13 +0000 2020
Calceolaria_,@aku_bidadari_ @kezia_anggra @txtdrimedia Biasanya sih 1. Semester sebelumnya masih ada yt ngulang tp dia gak ambil karna males 2. Dia males kuliah 3. Males kuliah aja 4. Males banget 5. Maleeeesssssss Mahasiswa seperti itu ada? Buaanyaaakkk udah keenakan seneng² di tempat rantau sementara uang kiriman lancar jaya.,Thu Dec 08 02:10:33 +0000 2022
Mentimoen,Kita perlu jujur dengan sejarah. Mahasiswa ga ada apa2nya perannya sengaja di-blow-up untuk legitimasi rezim yg muncul dan umumnya sesudah itu kader2 mahasiswa juga berebutan jadi punggawa dan adipati. Mahasiswa seharusnya belajar deh yg benar daripada jadi lelucon jalanan.,Tue Apr 12 08:18:47 +0000 2022
